"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","95.9100","95.9225","95.9225","95.9075","1.44M","0.14%"
"09/01/2025","95.7750","95.7675","95.7950","95.7650","2.46M","0.11%"
"08/01/2025","95.6700","95.6750","95.6825","95.6675","1.28M","0.00%"
"07/01/2025","95.6700","95.6700","95.6725","95.6675","1.01M","0.00%"
"06/01/2025","95.6700","95.6725","95.6750","95.6700","696.84K","0.00%"
"05/01/2025","95.6700","95.6875","95.6900","95.6700","799.37K","0.00%"
"04/01/2025","95.6700","95.6700","95.7900","95.6700","2.46M","0.00%"
"03/01/2025","95.6675","95.6750","95.6825","95.6675","737.37K","0.00%"
"02/01/2025","95.6700","95.6725","95.6750","95.6675","918.21K","0.00%"
"01/01/2025","95.6725","95.6725","95.6725","95.6700","725.86K","0.15%"
"12/01/2024","95.5250","95.4900","95.5275","95.4800","1.13M","0.17%"
"11/01/2024","95.3600","95.3500","95.3650","95.3400","814.31K","0.20%"
"10/01/2024","95.1700","95.1800","95.1850","95.1700","960.23K","0.32%"
"09/01/2024","94.8700","94.8025","94.8900","94.7800","831.15K","0.21%"
"08/01/2024","94.6700","94.6750","94.7900","94.6700","1.67M","0.00%"
"07/01/2024","94.6700","94.6725","94.6725","94.6700","564.80K","0.00%"
"06/01/2024","94.6675","94.6700","94.6750","94.6675","574.10K","0.00%"
"05/01/2024","94.6700","94.6725","94.6750","94.6700","320.99K","0.00%"
"04/01/2024","94.6700","94.6725","94.6750","94.6700","580.98K","0.00%"
"03/01/2024","94.6675","94.6750","94.6775","94.6675","372.05K","0.00%"
"02/01/2024","94.6700","94.6800","94.6900","94.6700","810.03K","0.00%"
"01/01/2024","94.6700","94.6725","94.6725","94.6700","359.54K","0.00%"
"12/01/2023","94.6700","94.6675","94.6725","94.6650","414.09K","0.00%"
"11/01/2023","94.6700","94.6700","94.6750","94.6675","440.46K","0.00%"
"10/01/2023","94.6725","94.6725","94.6725","94.6700","221.08K","0.00%"
"09/01/2023","94.6700","94.6600","94.6725","94.6575","226.99K","0.00%"
"08/01/2023","94.6700","94.6700","94.6750","94.6700","298.65K","-0.22%"
"07/01/2023","94.8800","94.8925","94.8950","94.8800","345.45K","-0.05%"
"06/01/2023","94.9250","94.8750","94.9250","94.8525","927.93K","-0.02%"
"05/01/2023","94.9450","94.9775","94.9975","94.9425","1.42M","-0.24%"
"04/01/2023","95.1700","95.1850","95.1850","95.1700","414.14K","-0.19%"
"03/01/2023","95.3500","95.3350","95.5075","95.2975","677.13K","-0.08%"
"02/01/2023","95.4275","95.4225","95.4325","95.4175","739.50K","-0.25%"
"01/01/2023","95.6675","95.6675","95.6725","95.6675","414.07K","-0.24%"
"12/01/2022","95.8975","95.8800","95.8975","95.8700","262.16K","-0.33%"
"11/01/2022","96.2175","96.2175","96.2200","96.2125","539.19K","-0.72%"
"10/01/2022","96.9200","96.9175","96.9225","96.9150","450.30K","-0.54%"
"09/01/2022","97.4425","97.4625","97.4800","97.4075","310.19K","-0.23%"
"08/01/2022","97.6675","97.6675","97.6700","97.6400","652.11K","-0.67%"
"07/01/2022","98.3250","98.3250","98.3325","98.2825","411.60K","-0.48%"
"06/01/2022","98.7950","98.9150","98.9175","98.6675","570.15K","-0.44%"
"05/01/2022","99.2350","99.2175","99.2350","99.2075","485.33K","-0.44%"
"04/01/2022","99.6700","99.6600","99.6725","99.6525","378.58K","-0.13%"
"03/01/2022","99.7975","99.7775","99.8075","99.7700","323.37K","-0.12%"
"02/01/2022","99.9175","99.9175","99.9200","99.8450","881.00K","0.00%"
