DATE,CPIAUCSL,PCEPI,UNRATE,PAYEMS,GDP,INDPRO,FinStress
31/01/2000,169.3,72.961,4,131011,13878.147,91.4092,0.0549
29/02/2000,170,73.191,4.1,131121,13878.147,91.7245,0.2468
31/03/2000,171,73.505,4,131604,13878.147,92.083,0.2146
30/04/2000,170.9,73.444,3.8,131883,14130.908,92.6659,0.2926
31/05/2000,171.2,73.505,4,132105,14130.908,92.9347,0.5653
30/06/2000,172.2,73.754,4,132062,14130.908,93.0018,0.3532
31/07/2000,172.7,73.939,4,132228,14145.312,92.8373,0.1137
31/08/2000,172.7,73.934,4.1,132234,14145.312,92.591,0.0114
30/09/2000,173.6,74.252,3.9,132338,14145.312,92.9827,0.1186
31/10/2000,173.9,74.353,3.9,132352,14229.765,92.64,0.3054
30/11/2000,174.2,74.457,3.9,132556,14229.765,92.6604,0.5349
31/12/2000,174.6,74.571,3.9,132716,14229.765,92.3457,0.6898
31/01/2001,175.6,74.932,4.2,132703,14183.12,91.8908,0.2574
28/02/2001,176,75.048,4.2,132788,14183.12,91.2851,0.6482
31/03/2001,176.1,75.055,4.3,132751,14183.12,91.0585,0.5309
30/04/2001,176.4,75.187,4.4,132457,14271.694,90.7384,0.7546
31/05/2001,177.3,75.385,4.3,132409,14271.694,90.2607,0.3559
30/06/2001,177.7,75.518,4.5,132299,14271.694,89.7811,0.3056
31/07/2001,177.4,75.493,4.6,132171,14214.516,89.2352,0.3155
31/08/2001,177.4,75.484,4.9,132021,14214.516,89.157,0.387
30/09/2001,178.1,75.227,5,131763,14214.516,88.6749,0.7295
31/10/2001,177.6,75.492,5.3,131452,14253.574,88.4051,0.7338
30/11/2001,177.5,75.441,5.5,131144,14253.574,87.886,0.6777
31/12/2001,177.4,75.363,5.7,130983,14253.574,87.8518,0.5854
31/01/2002,177.7,75.431,5.7,130859,14372.785,88.4634,0.3569
28/02/2002,178,75.558,5.7,130736,14372.785,88.4578,0.539
31/03/2002,178.5,75.763,5.7,130722,14372.785,89.1265,0.3352
30/04/2002,179.3,76.08,5.9,130615,14460.848,89.5507,0.3679
31/05/2002,179.5,76.13,5.8,130632,14460.848,89.9348,0.3332
30/06/2002,179.6,76.225,5.8,130673,14460.848,90.6736,0.9778
31/07/2002,180,76.393,5.8,130583,14519.633,90.6436,1.4921
31/08/2002,180.5,76.543,5.7,130582,14519.633,90.5505,0.8279
30/09/2002,180.8,76.681,5.7,130503,14519.633,90.6373,1.421
31/10/2002,181.2,76.821,5.7,130617,14537.58,90.3988,0.9824
30/11/2002,181.5,76.897,5.9,130616,14537.58,90.8947,0.6709
31/12/2002,181.8,76.971,6,130465,14537.58,90.3906,0.8856
31/01/2003,182.6,77.201,5.8,130573,14614.141,91.1369,0.9041
28/02/2003,183.6,77.526,5.9,130441,14614.141,91.2505,0.6487
31/03/2003,183.9,77.725,5.9,130235,14614.141,91.0006,0.6346
30/04/2003,183.2,77.593,6,130172,14743.567,90.4311,0.2324
31/05/2003,182.9,77.504,6.1,130196,14743.567,90.4,0.3882
30/06/2003,183.1,77.588,6.3,130185,14743.567,90.5196,0.4338
31/07/2003,183.7,77.816,6.2,130184,14988.782,90.9869,0.1261
31/08/2003,184.5,78.079,6.1,130153,14988.782,90.7933,0.0568
30/09/2003,185.1,78.323,6.1,130253,14988.782,91.3819,0.0087
31/10/2003,184.9,78.333,6,130440,15162.76,91.5049,-0.2491
30/11/2003,185,78.432,5.8,130481,15162.76,92.1265,-0.3639
31/12/2003,185.5,78.605,5.7,130589,15162.76,92.1732,-0.2433
31/01/2004,186.3,78.909,5.7,130756,15248.68,92.3268,-0.3911
